listing_id,price,borough,neighbourhood_name,accommodates,bedrooms,beds,price_per_accommodate,host_is_superhost,number_of_reviews,review_scores_rating,availability_365
40824219,66.0,Queens,Sunnyside,1,1.0,1.0,66.0,t,16,4.81,77
40839416,76.0,Manhattan,East Village,1,1.0,1.0,76.0,t,20,4.95,168
40843980,97.0,Queens,Ozone Park,6,2.0,3.0,16.166666666666668,t,93,4.14,364
40824301,60.0,Brooklyn,Williamsburg,1,2.0,1.0,60.0,t,26,4.92,187
40825740,425.0,Brooklyn,Crown Heights,6,3.0,3.0,70.83333333333333,f,1,5.0,224
2595,240.0,Manhattan,Midtown,1,0.0,1.0,240.0,f,47,4.68,289
6848,96.0,Brooklyn,Williamsburg,3,2.0,1.0,32.0,t,195,4.59,285
6872,59.0,Manhattan,East Harlem,1,1.0,1.0,59.0,f,1,5.0,83
6990,73.0,Manhattan,East Harlem,1,2.0,2.0,73.0,f,249,4.88,186
7097,216.0,Brooklyn,Fort Greene,2,1.0,2.0,108.0,t,423,4.89,0
40846105,83.0,Queens,Ridgewood,1,1.0,1.0,83.0,,25,5.0,333
40861640,420.0,Manhattan,Midtown,4,1.0,2.0,105.0,t,12,4.83,274
40869871,448.0,Manhattan,Financial District,2,1.0,1.0,224.0,f,34,4.56,245
40873866,99.0,Brooklyn,East New York,2,1.0,1.0,49.5,f,54,4.72,365
40874667,90.0,Brooklyn,East New York,2,1.0,1.0,45.0,f,76,4.66,365
8490,170.0,Brooklyn,Bedford-Stuyvesant,5,1.0,4.0,34.0,f,189,4.77,275
9357,175.0,Manhattan,Hell's Kitchen,2,,1.0,87.5,f,58,4.52,71
10452,90.0,Brooklyn,Bedford-Stuyvesant,2,1.0,2.0,45.0,t,82,4.66,244
12937,232.0,Queens,Long Island City,3,1.0,2.0,77.33333333333333,f,456,4.92,203
12940,151.0,Brooklyn,Bedford-Stuyvesant,2,1.0,1.0,75.5,f,80,4.58,286
14314,115.0,Brooklyn,Greenpoint,2,1.0,2.0,57.5,f,176,4.83,300
40887882,155.0,Manhattan,Upper East Side,4,2.0,3.0,38.75,t,9,4.89,329
40889145,170.0,Brooklyn,Sunset Park,4,1.0,2.0,42.5,f,1,5.0,269
16338,57.0,Brooklyn,Clinton Hill,1,1.0,2.0,57.0,f,32,4.66,335
16580,227.0,Manhattan,East Village,1,1.0,1.0,227.0,t,658,4.81,226
16821,202.0,Manhattan,East Village,1,1.0,1.0,202.0,t,281,4.74,28
18152,576.0,Manhattan,Upper East Side,2,2.0,1.0,288.0,f,146,4.41,365
18728,151.0,Manhattan,Chelsea,3,1.0,1.0,50.333333333333336,t,251,4.95,353
40891496,444.0,Brooklyn,Bedford-Stuyvesant,5,2.0,2.0,88.8,f,6,4.67,198
19174,200.0,Manhattan,West Village,4,1.0,3.0,50.0,f,68,4.63,290
19812,95.0,Brooklyn,Williamsburg,2,1.0,2.0,47.5,f,58,4.48,306
21456,112.0,Manhattan,Upper West Side,2,1.0,0.0,56.0,f,79,4.69,286
21794,85.0,Manhattan,Chelsea,2,1.0,1.0,42.5,f,36,4.97,364
23545,200.0,Manhattan,Harlem,2,1.0,2.0,100.0,t,214,4.75,358
24285,201.0,Brooklyn,Park Slope,5,3.0,7.0,40.2,f,93,4.83,360
40896611,169.0,Manhattan,Murray Hill,2,0.0,1.0,84.5,t,16,4.94,333
60666,60.0,Manhattan,Harlem,2,1.0,2.0,30.0,f,282,4.72,53
60680,150.0,Manhattan,East Village,6,1.0,2.0,25.0,t,168,4.53,364
26785,90.0,Brooklyn,South Slope,2,1.0,3.0,45.0,f,479,4.93,93
29013,90.0,Brooklyn,Bedford-Stuyvesant,2,1.0,1.0,45.0,t,78,4.74,282
29628,149.0,Brooklyn,Clinton Hill,2,1.0,1.0,74.5,t,490,4.95,299
31130,170.0,Manhattan,Hell's Kitchen,1,1.0,1.0,170.0,f,75,4.89,335
31994,122.0,Brooklyn,Clinton Hill,2,1.0,1.0,61.0,f,621,4.55,253
61406,75.0,Manhattan,Harlem,1,1.0,1.0,75.0,f,2,4.5,360
62925,285.0,Brooklyn,Greenpoint,4,1.0,1.0,71.25,f,172,4.81,31
63610,125.0,Bronx,Eastchester,3,1.0,1.0,41.666666666666664,t,57,4.93,359
38663,765.0,Brooklyn,Boerum Hill,2,5.0,5.0,382.5,f,43,4.7,364
39282,147.0,Brooklyn,Williamsburg,2,1.0,1.0,73.5,t,284,4.83,25
64314,72.0,Brooklyn,Crown Heights,2,1.0,1.0,36.0,f,46,4.82,215
64365,57.0,Brooklyn,Crown Heights,2,1.0,1.0,28.5,t,257,4.79,274
65660,108.0,Brooklyn,Williamsburg,3,1.0,1.0,36.0,f,164,4.52,90
66008,225.0,Brooklyn,Carroll Gardens,4,2.0,2.0,56.25,f,67,4.86,306
66251,349.0,Manhattan,East Village,2,0.0,1.0,174.5,f,173,4.93,145
66974,209.0,Brooklyn,Gowanus,2,1.0,1.0,104.5,f,249,4.98,267
